Корневая;"Подкатегория 1";"Подкатегория 2";"Подкатегория 3";Артикул;"Название товара";"Краткое описание";"Полное описание";Изображения;"Цена продажи";"Параметр: Наличие";"Параметр: Вес";"Параметр: Габариты";"Параметр: Производитель";"Параметр: Ссылка на товар";"Параметр: Упаковка";"Параметр: Срок годности";"Параметр: Производитель";"Параметр: Страна происхождения";"Параметр: Состав";"Параметр: БЖУ";"Параметр: Условия хранения";"Параметр: Вес"
Новинки;;;;01303910837;"Смесь специй для сыра ""Испанская""";;"Приготовленный своими руками сыр – это натурально, вкусно и очень модно! С коллекцией пряностей для домашнего сыра вы сможете удивлять близких и наслаждаться богатством вкусовых сочетаний, готовя сыр по проверенному классическому и очень простому рецепту.
Ароматный черный кунжут и яркая страстная паприка. Это похоже на темпераментный испанский танец. Сладкая острота паприки действует почти магически, превращая любой сыр в деликатес. А брутальный черный кунжут оттеняет ее вкус ореховыми нотками и легкой экзотической горчинкой.
ДАВАЙТЕ ВЫБИРАТЬ ПОЛЕЗЗНОЕ!
Приготовим сыр:
1. Возьмите 3 л жирного молока (от 3,2% и выше), добавьте соль по вкусу, доведите его до кипения, но не кипятите.
2. Добавьте 5–7 ст. л. лимонного сока или уксусной кислоты 9%. Аккуратно перемешайте, чтобы не повредить сгусток.
3. Подождите пять минут, чтобы сыворотка отделилась от белка. Если сыворотка не прозрачная (белая), то добавьте еще немного кислоты и повторно нагрейте.
4. Отделите сыворотку от твердой массы при помощи марли. Поставьте сыр под пресс. Охладите в течение 1–2 часов в холодильнике.
Советы по применению:
• Сыр в пряностях. Нарежьте сыр небольшими кубиками размером 2–3 см и обваляйте их в смеси. Для наилучшего раскрытия вкуса специй можно предварительно смазать кусочки сыра растительным маслом.
• Сыр с пряностями. Добавьте смесь пряностей в молоко в самом начале приготовления домашнего сыра. На 100 г сыра нужно в среднем от 1/2 до 1 ст. л. смеси.
• Готовый сыр храните в закрытой емкости в холодильнике не более 4-х дней.
Смесь ""Испанская"" идеально сочетается с брынзой, сулугуни, адыгейским сыром, фетой, чечилом и другими рассольными сырами.
Состав
Паприка красная, кунжут черный, кориандр.
БЖУ
Белки 13,8 г
Жиры 25 г
Углеводы 24,5 г
Энергетическая ценность 1582 кДж/378 ккал
Условия хранения
Хранить при температуре не выше 25 и относительной влажности воздуха не более 75%";"https://polezzno.com/image/cache/catalog/specii/smes_speciy_dlya_sira_ispanskaya_150gr_kz-1200x1200.jpg https://polezzno.com/image/cache/catalog/specii/smes_speciy_dlya_sira_ispanskaya_150gr_kz_back-1200x1200.jpg";0;"В наличии";;;POLEZZNO;http://polezzno.com/novinki/smes-specij-dlya-syra-ispanskaya;"Картонная коробка, внутренний пакет дой-пак с замком зип-лок, вес нетто 150 г";"12 месяцев";"ООО ""ПОЛЕЗЗНО"", Россия";Россия;"Паприка красная, кунжут черный, кориандр.";"Белки 13,8 гЖиры 25 гУглеводы 24,5 гЭнергетическая ценность 1582 кДж/378 ккал";"Хранить при температуре не выше 25 и относительной влажности воздуха не более 75%";
Новинки;;;;854256506;"Смесь специй для сыра ""Итальянская""";;"Приготовленный своими руками сыр – это натурально, вкусно и очень модно! С коллекцией пряностей для домашнего сыра вы сможете удивлять близких и наслаждаться богатством вкусовых сочетаний, готовя сыр по проверенному классическому и очень простому рецепту.
Насыщенный аромат пряной зелени обязательно напомнит вам о солнечной Италии, для которой сыр превратился в настоящее искусство. Изысканный аромат тимьяна и базилика дополняется тонкой гвоздичной нотой душистого перца и страстным обжигающим аккордом из трех видов острого перца. Такая смесь сделает ваш домашний сыр незабываемым, как любое путешествие в Италию.
ДАВАЙТЕ ВЫБИРАТЬ ПОЛЕЗЗНОЕ!
Приготовим сыр:
1. Возьмите 3 л жирного молока (от 3,2% и выше), добавьте соль по вкусу, доведите его до кипения, но не кипятите.
2. Добавьте 5–7 ст. л. лимонного сока или уксусной кислоты 9%. Аккуратно перемешайте, чтобы не повредить сгусток.
3. Подождите пять минут, чтобы сыворотка отделилась от белка. Если сыворотка не прозрачная (белая), то добавьте еще немного кислоты и повторно нагрейте.
4. Отделите сыворотку от твердой массы при помощи марли. Поставьте сыр под пресс. Охладите в течение 1–2 часов в холодильнике.
Советы по применению:
• Сыр в пряностях. Нарежьте сыр небольшими кубиками размером 2–3 см и обваляйте их в смеси. Для наилучшего раскрытия вкуса специй можно предварительно смазать кусочки сыра растительным маслом.
• Сыр с пряностями. Добавьте смесь пряностей в молоко в самом начале приготовления домашнего сыра. На 100 г сыра нужно в среднем от 1/2 до 1 ст. л. смеси.
• Готовый сыр храните в закрытой емкости в холодильнике не более 4-х дней.
Смесь ""Итальянская"" идеально сочетается с брынзой, сулугуни, адыгейским сыром, фетой, чечилом и другими рассольными сырами.
Состав
Тимьян, базилик, укроп, розмарин, сельдерей, петрушка, перец черный, перец душистый, перец белый, перец кайенский.
БЖУ
Белки 11,7 г
Жиры 6,1 г
Углеводы 37,9 г
Энергетическая ценность 1059 кДж/253 ккал
Условия хранения
Хранить при температуре не выше 25 и относительной влажности воздуха не более 75%";"https://polezzno.com/image/cache/catalog/specii/smes_speciy_dlya_sira_italiyanskaya_150gr_kz-1200x1200.jpg https://polezzno.com/image/cache/catalog/specii/smes_speciy_dlya_sira_italiyanskaya_150gr_kz_back-1200x1200.jpg";0;"В наличии";;;POLEZZNO;http://polezzno.com/novinki/smes-specij-dlya-syra-italjyanskaya;"Картонная коробка, внутренний пакет дой-пак с замком зип-лок, вес нетто 100 г";"12 месяцев";"ООО ""ПОЛЕЗЗНО"", Россия";Россия;"Тимьян, базилик, укроп, розмарин, сельдерей, петрушка, перец черный, перец душистый, перец белый, перец кайенский.";"Белки 11,7 гЖиры 6,1 гУглеводы 37,9 гЭнергетическая ценность 1059 кДж/253 ккал";"Хранить при температуре не выше 25 и относительной влажности воздуха не более 75%";
Новинки;;;;0543968947;"Смесь специй для сыра ""Тайская""";;"Приготовленный своими руками сыр – это натурально, вкусно и очень модно! С коллекцией пряностей для домашнего сыра вы сможете удивлять близких и наслаждаться богатством вкусовых сочетаний, готовя сыр по проверенному классическому и очень простому рецепту.
Загадочная, как азиатская кухня, композиция из имбиря и мяты. Чувственный букет прекрасно подчеркивает вкус сыра, придавая ему характерную терпкость и горчинку. Мелко нарезанная мята оттеняет остроту имбиря своей прохладой и остается послевкусие белого перца.
ДАВАЙТЕ ВЫБИРАТЬ ПОЛЕЗЗНОЕ!
Приготовим сыр:
1. Возьмите 3 л жирного молока (от 3,2% и выше), добавьте соль по вкусу, доведите его до кипения, но не кипятите.
2. Добавьте 5–7 ст. л. лимонного сока или уксусной кислоты 9%. Аккуратно перемешайте, чтобы не повредить сгусток.
3. Подождите пять минут, чтобы сыворотка отделилась от белка. Если сыворотка не прозрачная (белая), то добавьте еще немного кислоты и повторно нагрейте.
4. Отделите сыворотку от твердой массы при помощи марли. Поставьте сыр под пресс. Охладите в течение 1–2 часов в холодильнике.
Советы по применению:
• Сыр в пряностях. Нарежьте сыр небольшими кубиками размером 2–3 см и обваляйте их в смеси. Для наилучшего раскрытия вкуса специй можно предварительно смазать кусочки сыра растительным маслом.
• Сыр с пряностями. Добавьте смесь пряностей в молоко в самом начале приготовления домашнего сыра. На 100 г сыра нужно в среднем от 1/2 до 1 ст. л. смеси.
• Готовый сыр храните в закрытой емкости в холодильнике не более 4-х дней.
Смесь ""Тайская"" идеально сочетается с брынзой, сулугуни, адыгейским сыром, фетой, чечилом и другими рассольными сырами.
Состав
Имбирь, мята перечная, перец белый.
БЖУ
Белки 12 г
Жиры 4,2 г
Углеводы 45,9 г
Энергетическая ценность 1126 кДж/269 ккал
Условия хранения
Хранить при температуре не выше 25 и относительной влажности воздуха не более 75%";"https://polezzno.com/image/cache/catalog/specii/smes_speciy_dlya_sira_tayskaya_100gr_kz-1200x1200.jpg https://polezzno.com/image/cache/catalog/specii/smes_speciy_dlya_sira_tayskaya_100gr_kz_back-1200x1200.jpg";0;"В наличии";;;POLEZZNO;http://polezzno.com/novinki/smes-specij-dlya-syra-tajskaya;"Картонная коробка, внутренний пакет дой-пак с замком зип-лок, вес нетто 100 г";"24 месяца";"ООО ""ПОЛЕЗЗНО"", Россия";Россия;"Имбирь, мята перечная, перец белый.";"Белки 12 гЖиры 4,2 гУглеводы 45,9 гЭнергетическая ценность 1126 кДж/269 ккал";"Хранить при температуре не выше 25 и относительной влажности воздуха не более 75%";
Новинки;;;;1252868672;"Смесь специй для сыра ""Кавказская""";;"Приготовленный своими руками сыр – это натурально, вкусно и очень модно! С коллекцией пряностей для домашнего сыра вы сможете удивлять близких и наслаждаться богатством вкусовых сочетаний, готовя сыр по проверенному классическому и очень простому рецепту.
Представьте, что вы греетесь у костра и наблюдаете за чарующими завитками дыма. А какое удовольствие пробовать закуски, приготовленные на гриле! Одна из таких аппетитных закусок – сыр. Микс специй POLEZZNO придаст сыру характерный аромат и выразительный вкус. Копченая паприка, мускатный орех и кайенский перец создают незабываемый букет, острый и пряный. Согревайтесь изнутри и наслаждайтесь гармоничной палитрой вкусов.
ДАВАЙТЕ ВЫБИРАТЬ ПОЛЕЗЗНОЕ!
Приготовим сыр:
1. Возьмите 3 л жирного молока (от 3,2% и выше), добавьте соль по вкусу, доведите его до кипения, но не кипятите.
2. Добавьте 5–7 ст. л. лимонного сока или уксусной кислоты 9%. Аккуратно перемешайте, чтобы не повредить сгусток.
3. Подождите пять минут, чтобы сыворотка отделилась от белка. Если сыворотка не прозрачная (белая), то добавьте еще немного кислоты и повторно нагрейте.
4. Отделите сыворотку от твердой массы при помощи марли. Поставьте сыр под пресс. Охладите в течение 1–2 часов в холодильнике.
Советы по применению:
• Сыр в пряностях. Нарежьте сыр небольшими кубиками размером 2–3 см и обваляйте их в смеси. Для наилучшего раскрытия вкуса специй можно предварительно смазать кусочки сыра растительным маслом.
• Сыр с пряностями. Добавьте смесь пряностей в молоко в самом начале приготовления домашнего сыра. На 100 г сыра нужно в среднем от 1/2 до 1 ст. л. смеси.
• Готовый сыр храните в закрытой емкости в холодильнике не более 4-х дней.
Смесь ""Кавказская"" идеально сочетается с брынзой, сулугуни, адыгейским сыром, фетой, чечилом и другими рассольными сырами.
Состав
Паприка красная копченая, мускатный орех, кумин, чеснок, перец кайенский.
БЖУ
Белки 10,9 г
Жиры 18,6 г
Углеводы 39,2 г
Энергетическая ценность 1541 кДж/368 ккал
Условия хранения
Хранить при температуре не выше 25 и относительной влажности воздуха не более 75%";"https://polezzno.com/image/cache/catalog/specii/smes_speciy_dlya_sira_kavkazskaya_150gr_kz-1200x1200.jpg https://polezzno.com/image/cache/catalog/specii/smes_speciy_dlya_sira_kavkazskaya_150gr_kz_back-1200x1200.jpg";0;"В наличии";;;POLEZZNO;http://polezzno.com/novinki/smes-specij-dlya-syra-kavkazskaya;"Картонная коробка, внутренний пакет дой-пак с замком зип-лок, вес нетто 150 г";"24 месяца";"ООО ""ПОЛЕЗЗНО"", Россия";Россия;"Паприка красная копченая, мускатный орех, кумин, чеснок, перец кайенский.";"Белки 10,9 гЖиры 18,6 гУглеводы 39,2 гЭнергетическая ценность 1541 кДж/368 ккал";"Хранить при температуре не выше 25 и относительной влажности воздуха не более 75%";
Новинки;;;;0252028108;"Кокосовая стружка ""Черная""";;"Когда хочется чего-то яркого и необычного. Удивить друзей и порадовать малыша. Поразить воображение и сделать запоминающуюся фотографию. Раскрасить обычное утро буднего дня. Цветная кокосовая стружка POLEZZNO поможет вам создать настоящий кулинарный шедевр и сделать из рядового блюда праздник. Только полезные и натуральные красители участвуют в создании трендовой коллекции цветной кокосовой стружки. Удваиваем пользу настоящего ЗОЖ-хита!
Черный всегда в моде. Почувствуйте себя аристократом — превратите обычный десерт в стильный деликатес, используя изысканную черную кокосовую стружку.
ДАВАЙТЕ ВЫБИРАТЬ ПОЛЕЗЗНОЕ!
Идеально подходит для ваших любимых десертов, смузи, коктейлей, домашних тортов, пирожных, конфет и многого другого.
Рецепты:
Кокосовая панакота: развести 20 г желатина в 200 мл холодной воды и оставить для набухания на 40-60 минут. Смесь из 400 мл молока и 20 г сахара варить 5 минут на медленном огне. Снять с огня, перемешать и дать остыть. Поставить набухший желатин на водяную баню до полного растворения, не доводить до кипения. Смешать желатин и молочную массу, разлить по формочкам. Убрать в холодильник на несколько часов. Покрыть ягодным джемом, украсить черной кокосовой стружкой.
• Кокосовая стружка — очень питательный продукт, ведь она содержит до 65% кокосового масла. Оно является одним из самых полезных и высококачественных жиров, столь необходимых нашему организму.
• Мякоть кокоса содержит витамины В, С и Е, а также минералы калий, кальций, фосфор, железо, медь, марганец, йод.
• Лауриновая кислота в составе кокосовой стружки стабилизирует уровень холестерина в крови.
Состав
Кокосовая стружка сушеная (размер медиум, жирность 65%), уголь активированный
БЖУ
белки 12,6 г,
жиры 63,1 г,
углеводы 13,6 г;
энергетическая ценность — 2818 кДж/673 ккал
Условия хранения
Хранить при температуре не выше 25 °C и относительной влажности не более 75%";"https://polezzno.com/image/cache/catalog/kokos/kokosovaya_strujka_black_100gr_kz-1200x1200.jpg https://polezzno.com/image/cache/catalog/kokos/kokosovaya_strujka_black_100gr_kz_back-1200x1200.jpg";0;"В наличии";;;POLEZZNO;http://polezzno.com/novinki/kokosovaya-struzhka-chernaya;"Картонная коробка с окошком, внутренний пакет БОПП, вес нетто 100 г";"12 месяцев с даты производства";"ООО ""ПОЛЕЗЗНО"", Россия";Россия;"Кокосовая стружка сушеная (размер медиум, жирность 65%), уголь активированный";"белки 12,6 г,жиры 63,1 г,углеводы 13,6 г;энергетическая ценность — 2818 кДж/673 ккал";"Хранить при температуре не выше 25 °C и относительной влажности не более 75%";
Новинки;;;;842746868;"Кокосовая стружка ""Розовая""";;"Когда хочется чего-то яркого и необычного. Удивить друзей и порадовать малыша. Поразить воображение и сделать запоминающуюся фотографию. Раскрасить обычное утро буднего дня. Цветная кокосовая стружка POLEZZNO поможет вам создать настоящий кулинарный шедевр и сделать из рядового блюда праздник. Только полезные и натуральные красители участвуют в создании трендовой коллекции цветной кокосовой стружки. Удваиваем пользу настоящего ЗОЖ-хита!
Теплый летний вечер, нежно-розовый закат, романтическое настроение и легкость. Впустите в привычную жизнь немного магии — добавьте розовую кокосовую стружку.
ДАВАЙТЕ ВЫБИРАТЬ ПОЛЕЗЗНОЕ!
Идеально подходит для ваших любимых десертов, смузи, коктейлей, домашних тортов, пирожных, конфет и многого другого.
Рецепты:
Торт «Сметанник»: для коржей взбить миксером 2 ст. сахара, 2 ст. кефира и 2 яйца. Добавить 10 г разрыхлителя и 2 ст. просеянной муки, перемешать. Форму для выпечки смазать сливочным маслом, вылить в нее половину теста и отправить в разогретую до 180 °C духовку на 30 минут. Так испечь 2 коржа, дать им остыть. Для крема взбить 800 г сметаны 20% с 1 ст. сахара. Крем убрать в холодильник на полчаса. Хорошо промазать кремом коржи, в т. ч. верх и бока. Украсить торт розовой кокосовой стружкой и ягодами.
• Кокосовая стружка — очень питательный продукт, ведь она содержит до 65% кокосового масла. Оно является одним из самых полезных и высококачественных жиров, столь необходимых нашему организму.
• Мякоть кокоса содержит витамины В, С и Е, а также минералы калий, кальций, фосфор, железо, медь, марганец, йод.
• Лауриновая кислота в составе кокосовой стружки стабилизирует уровень холестерина в крови.
Состав
Кокосовая стружка сушеная (размер медиум, жирность 65%), молотая сушеная мякоть питахайи
БЖУ
белки 12,2 г,
жиры 60,6 г,
углеводы 19,3 г;
энергетическая ценность — 2809 кДж/671 ккал
Условия хранения
Хранить при температуре не выше 25 °C и относительной влажности не более 75%";"https://polezzno.com/image/cache/catalog/kokos/kokosovaya_strugka_pink_100gr_kz-1200x1200.jpg https://polezzno.com/image/cache/catalog/kokos/kokosovaya_strugka_pink_100gr_kz_back-1200x1200.jpg";0;"В наличии";;;POLEZZNO;http://polezzno.com/novinki/kokosovaya-struzhka-rozovaya;"Картонная коробка с окошком, внутренний пакет БОПП, вес нетто 100 г";"12 месяцев с даты производства";"ООО ""ПОЛЕЗЗНО"", Россия";Россия;"Кокосовая стружка сушеная (размер медиум, жирность 65%), молотая сушеная мякоть питахайи";"белки 12,2 г,жиры 60,6 г,углеводы 19,3 г;энергетическая ценность — 2809 кДж/671 ккал";"Хранить при температуре не выше 25 °C и относительной влажности не более 75%";
Новинки;;;;01967595563;"Кокосовая стружка ""Голубая""";;"Когда хочется чего-то яркого и необычного. Удивить друзей и порадовать малыша. Поразить воображение и сделать запоминающуюся фотографию. Раскрасить обычное утро буднего дня. Цветная кокосовая стружка POLEZZNO поможет вам создать настоящий кулинарный шедевр и сделать из рядового блюда праздник. Только полезные и натуральные красители участвуют в создании трендовой коллекции цветной кокосовой стружки. Удваиваем пользу настоящего ЗОЖ-хита!
Шум моря, песочный берег и бесконечный поток вдохновения. Экспериментируйте и творите вместе с голубой кокосовой стружкой.
ДАВАЙТЕ ВЫБИРАТЬ ПОЛЕЗЗНОЕ!
Идеально подходит для ваших любимых десертов, смузи, коктейлей, домашних тортов, пирожных, конфет и многого другого.
Рецепты:
Сыроедческие конфеты с финиками и бананом: размять вилкой 1 банан до однородной массы. Измельчить 100 г орехов в блендере. В банановую массу добавить предварительно замоченные в теплой воде финики без косточек (80 г). Туда же добавить орехи и кокосовую стружку, перемешать. Скатать из бананово-финиковой массы шарики и обвалять их в голубой кокосовой стружке.
• Кокосовая стружка — очень питательный продукт, ведь она содержит до 65% кокосового масла. Оно является одним из самых полезных и высококачественных жиров, столь необходимых нашему организму.
• Мякоть кокоса содержит витамины В, С и Е, а также минералы калий, кальций, фосфор, железо, медь, марганец, йод.
• Лауриновая кислота в составе кокосовой стружки стабилизирует уровень холестерина в крови.
Состав
Кокосовая стружка сушеная (размер медиум, жирность 65%), сушеные молотые цветки клитории тройчатой
БЖУ
белки 12,7 г,
жиры 62,5 г,
углеводы 16,4 г;
энергетическая ценность — 2 843 кДж/679 ккал
Условия хранения
Хранить при температуре не выше 25 °C и относительной влажности не более 75%";"https://polezzno.com/image/cache/catalog/kokos/kokosovaya_strugka_blue_100gr_kz-1200x1200.jpg https://polezzno.com/image/cache/catalog/kokos/kokosovaya_strugka_blue_100gr_kz_back-1200x1200.jpg";0;"В наличии";;;POLEZZNO;http://polezzno.com/novinki/kokosovaya-struzhka-golubaya;"Картонная коробка с окошком, внутренний пакет БОПП, вес нетто 100 г";"12 месяцев с даты производства";"ООО ""ПОЛЕЗЗНО"", Россия";Россия;"Кокосовая стружка сушеная (размер медиум, жирность 65%), сушеные молотые цветки клитории тройчатой";"белки 12,7 г,жиры 62,5 г,углеводы 16,4 г;энергетическая ценность — 2 843 кДж/679 ккал";"Хранить при температуре не выше 25 °C и относительной влажности не более 75%";
Новинки;;;;623606706;"Кокосовая стружка ""Зеленая""";;"Когда хочется чего-то яркого и необычного. Удивить друзей и порадовать малыша. Поразить воображение и сделать запоминающуюся фотографию. Раскрасить обычное утро буднего дня. Цветная кокосовая стружка POLEZZNO поможет вам создать настоящий кулинарный шедевр и сделать из рядового блюда праздник. Только полезные и натуральные красители участвуют в создании трендовой коллекции цветной кокосовой стружки. Удваиваем пользу настоящего ЗОЖ-хита!
Жаркий летний день, пикник с друзьями в парке на траве, улыбки и игривое настроение. Сделать этот день еще ярче сможет только прохладный смузи или воздушный десерт с зеленой кокосовой стружкой.
ДАВАЙТЕ ВЫБИРАТЬ ПОЛЕЗЗНОЕ!
Идеально подходит для ваших любимых десертов, смузи, коктейлей, домашних тортов, пирожных, конфет и многого другого.
Рецепты:
Творожные конфеты с клубникой: взбить миксером 1 яйцо и 5 ст. л. сахара. Добавить 250 г творога и 30 г растаявшего сливочного масла. Всыпать 150–200 г муки и замесить тесто. Вылепить маленькие лепешки и положить в серединки по кусочку клубники, слепить шарики. Отправить их в кипяток, после всплытия поварить еще 3 минуты. Не дожидаясь остывания, обвалять шарики в зеленой кокосовой стружке и панировочных сухарях.
• Кокосовая стружка — очень питательный продукт, ведь она содержит до 65% кокосового масла. Оно является одним из самых полезных и высококачественных жиров, столь необходимых нашему организму.
• Мякоть кокоса содержит витамины В, С и Е, а также минералы калий, кальций, фосфор, железо, медь, марганец, йод.
• Лауриновая кислота в составе кокосовой стружки стабилизирует уровень холестерина в крови.
Состав
Кокосовая стружка сушеная (размер медиум, жирность 65%), 100% натуральный чай матча
БЖУ
белки 13,5 г,
жиры 62,6 г,
углеводы 14,4 г;
энергетическая ценность — 2 826 кДж/675 ккал
Условия хранения
Хранить при температуре не выше 25 °C и относительной влажности не более 75%";"https://polezzno.com/image/cache/catalog/kokos/kokosovaya_strugka_green_100gr_kz-1200x1200.jpg https://polezzno.com/image/cache/catalog/kokos/kokosovaya_strugka_green_100gr_kz_back-1200x1200.jpg";0;"В наличии";;;POLEZZNO;http://polezzno.com/novinki/kokosovaya-struzhka-zelenaya;"Картонная коробка с окошком, внутренний пакет БОПП, вес нетто 100 г";"12 месяцев с даты производства";"ООО ""ПОЛЕЗЗНО"", Россия";Россия;"Кокосовая стружка сушеная (размер медиум, жирность 65%), 100% натуральный чай матча";"белки 13,5 г,жиры 62,6 г,углеводы 14,4 г;энергетическая ценность — 2 826 кДж/675 ккал";"Хранить при температуре не выше 25 °C и относительной влажности не более 75%";
Новинки;;;;0283240555;"Кокосовая стружка ""Желтая""";;"Когда хочется чего-то яркого и необычного. Удивить друзей и порадовать малыша. Поразить воображение и сделать запоминающуюся фотографию. Раскрасить обычное утро буднего дня. Цветная кокосовая стружка POLEZZNO поможет вам создать настоящий кулинарный шедевр и сделать из рядового блюда праздник. Только полезные и натуральные красители участвуют в создании трендовой коллекции цветной кокосовой стружки. Удваиваем пользу настоящего ЗОЖ-хита!
Хорошее настроение и яркие эмоции даже в самый дождливый день. Оставайтесь дома, заваривайте чай и наслаждайтесь десертом с солнечной кокосовой стружкой
ДАВАЙТЕ ВЫБИРАТЬ ПОЛЕЗЗНОЕ!
Идеально подходит для ваших любимых десертов, смузи, коктейлей, домашних тортов, пирожных, конфет и многого другого.
Рецепты:
Конфеты «Раффаэлло»: смешать 50 г сухого кокосового молока с 80 г кокосовой стружки. Добавить к смеси 100 мл сгущенного молока, тщательно перемешать. Сформировать шарики влажными руками. Положить внутрь каждого шарика миндальный орех. Обвалять шарики в желтой кокосовой стружке.
• Кокосовая стружка — очень питательный продукт, ведь она содержит до 65% кокосового масла. Оно является одним из самых полезных и высококачественных жиров, столь необходимых нашему организму.
• Мякоть кокоса содержит витамины В, С и Е, а также минералы калий, кальций, фосфор, железо, медь, марганец, йод.
• Лауриновая кислота в составе кокосовой стружки стабилизирует уровень холестерина в крови.
Состав
Кокосовая стружка сушеная (размер медиум, жирность 65%), куркума
БЖУ
белки 13,0 г,
жиры 63,0 г,
углеводы 15,7 г;
энергетическая ценность — 2 855 кДж/682 ккал
Условия хранения
Хранить при температуре не выше 25 °C и относительной влажности не более 75%";"https://polezzno.com/image/cache/catalog/kokos/kokosovaya_strugka_yellow_100gr_kz-1200x1200.jpg https://polezzno.com/image/cache/catalog/kokos/kokosovaya_strugka_yellow_100gr_kz_back-1200x1200.jpg";0;"В наличии";;;POLEZZNO;http://polezzno.com/novinki/kokosovaya-struzhka-zheltaya;"Картонная коробка с окошком, внутренний пакет БОПП, вес нетто 100 г";"12 месяцев с даты производства";"ООО ""ПОЛЕЗЗНО"", Россия";Россия;"Кокосовая стружка сушеная (размер медиум, жирность 65%), куркума";"белки 13,0 г,жиры 63,0 г,углеводы 15,7 г;энергетическая ценность — 2 855 кДж/682 ккал";"Хранить при температуре не выше 25 °C и относительной влажности не более 75%";
Новинки;;;;0697136736;"Напиток растительный в фильтр-пакетах чага ""С яблоком и корицей""";;"Березовую чагу называют королем грибов и сокровищем леса.
Мощный природный адаптоген был известен еще древним римлянам и князю Владимиру
Мономаху. На протяжении веков люди верили, что чага активизирует защитные
ресурсы организма, придавая ему молодость и силу. Теперь познакомиться с
древним суперфудом можете и вы. Напиток из чаги обладает приятным древесным
ароматом и отлично заменяет чай или кофе.
Яблоко и корица – классическое сочетание, которое дарит
тепло и уют. Пряно-спелый дуэт создает чарующий фон для березовой чаги. Ее
узнаваемый вкус с яркими дубильными нотками ни с чем нельзя перепутать.
Сделайте глоток и окажитесь на лесной поляне, наполненной теплом и солнцем.
?ДАВАЙТЕ ВЫБИРАТЬ ПОЛЕЗЗНОЕ!
Способ применения: заварите 1-2 фильтр-пакета на стакан кипятка в течение 3-5 минут. Нежелательно использовать металлическую посуду для заваривания.
Противопоказания: индивидуальная непереносимость компонентов, детский и подростковый возраст (до 18 лет), беременность и период лактации.
*	Польза для пищеварения. Гриб чага регулирует метаболические процессы и нормализует работу ЖКТ.
*	Повышение иммунитета. Регулярное употребление гриба чаги поддерживает иммунную систему. Это повышает сопротивляемость организма простуде и другим заболеваниям.
*	Общетонизирующее действие. Напиток на основе чаги придает силы, повышает настроение и выносливость при интенсивных нагрузках.
*	Замедление процесса старения. Чага – сильнейший природный антиоксидант. Он обладает способностью нейтрализовать свободные радикалы, помогая сохранять молодость и красоту.
*	Богатый состав. Гриб чага является природным источником витаминов группы В и D, калия, меди, цинка, селена, железа и магния. Всего в нем порядка 215 фитонутриентов.
*	Профилактика сердечно-сосудистых заболеваний. Антиоксиданты в составе чаги снижают уровень холестерина, уменьшая риск инфаркта и инсульта.
Почему УДОБНО:
*	Полезный напиток готов за несколько минут.
*	Регулируйте насыщенность вкуса, меняя время настаивания напитка.
Состав
Измельченный березовый гриб чага, яблочная клетчатка, корица, зверобой
Условия хранения
Хранить при температуре не выше 20 С и относительной влажности воздуха не более 70%.";"https://polezzno.com/image/cache/catalog/chay/napitok_chaga_apple_30g_kz-1200x1200.jpg https://polezzno.com/image/cache/catalog/chay/napitok_chaga_apple_30g_back-1200x1200.jpg";0;"В наличии";;;POLEZZNO;http://polezzno.com/novinki/napitok-rastitelnyj-v-filtr-paketah-chaga-s-yablokom-i-koricej;"Картонная коробка, бумажный пакет, фильтр-пакеты без ярлычков, 20 шт х 1,5 г";"12 месяцев с даты производства";"ООО ""ПОЛЕЗЗНО"", Россия";Россия;"Измельченный березовый гриб чага, яблочная клетчатка, корица, зверобой";;"Хранить при температуре не выше 20 С и относительной влажности воздуха не более 70%.";
